studentNo,courseCode,term,itemName,weight,score
S001,SCI101,2025秋,平时成绩,40,85
S001,SCI101,2025秋,期末成绩,60,86
S002,SCI101,2025秋,平时成绩,40,87
S002,SCI101,2025秋,期末成绩,60,88
S003,SCI101,2025秋,平时成绩,40,89
S003,SCI101,2025秋,期末成绩,60,90
S004,SCI101,2025秋,平时成绩,40,91
S004,SCI101,2025秋,期末成绩,60,92
S005,SCI101,2025秋,平时成绩,40,93
S005,SCI101,2025秋,期末成绩,60,94
S006,SCI101,2025秋,平时成绩,40,95
S006,SCI101,2025秋,期末成绩,60,96
S007,SCI101,2025秋,平时成绩,40,97
S007,SCI101,2025秋,期末成绩,60,98
S008,SCI101,2025秋,平时成绩,40,99
S008,SCI101,2025秋,期末成绩,60,84
S009,SCI101,2025秋,平时成绩,40,83
S009,SCI101,2025秋,期末成绩,60,82
S009,MAT101,2025秋,平时成绩,40,83
S009,MAT101,2025秋,期末成绩,60,82

